Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

           TARGET_MECHANICAL_5       -930mil       -810mil      27996mil      16624mil       -930mil       -810mil  T         90.00 Comment        
           TARGET_MECHANICAL_5       -930mil       -810mil      28035mil      27703mil       -930mil       -810mil  T         90.00 Comment        
           TARGET_MECHANICAL_5       -930mil       -810mil      36851mil      27683mil       -930mil       -810mil  T         90.00 Comment        
RN1        RES_ARRAY_0603_x_4  32052.323mil  21393.842mil      32010mil  21346.598mil  32013.937mil  21346.598mil  B         90.00 RES ARRAY  x4 10K
R7         SMD_0805             34994mil  26127.079mil      34994mil  26127.079mil      35039mil  26127.079mil  T        180.00 Res 0805       
R6         SMD_0805             34981mil  26667.079mil      34981mil  26667.079mil      35026mil  26667.079mil  T        180.00 Res 0805       
R5         2012[0805]           30456mil  26364.079mil      30456mil  26364.079mil      30456mil   26401.48mil  B        270.00 4.7k           
R4L        SMD_0805         35509.988mil  19712.819mil  35509.988mil  19712.819mil  35509.988mil  19757.819mil  T        270.00 Res 0805       
R4K        SMD_0805         34109.988mil  19712.819mil  34109.988mil  19712.819mil  34109.988mil  19757.819mil  T        270.00 Res 0805       
R4J        SMD_0805         32709.988mil  19712.819mil  32709.988mil  19712.819mil  32709.988mil  19757.819mil  T        270.00 Res 0805       
R4I        SMD_0805         31309.988mil  19712.819mil  31309.988mil  19712.819mil  31309.988mil  19757.819mil  T        270.00 Res 0805       
R4H        SMD_0805         29909.988mil  19712.819mil  29909.988mil  19712.819mil  29909.988mil  19757.819mil  T        270.00 Res 0805       
R4G        SMD_0805         28509.988mil  19712.819mil  28509.988mil  19712.819mil  28509.988mil  19757.819mil  T        270.00 Res 0805       
R4F        SMD_0805             35510mil      24964mil      35510mil      24964mil      35510mil      25009mil  T        270.00 Res 0805       
R4E        SMD_0805             34110mil      24964mil      34110mil      24964mil      34110mil      25009mil  T        270.00 Res 0805       
R4D        SMD_0805             32710mil      24964mil      32710mil      24964mil      32710mil      25009mil  T        270.00 Res 0805       
R4C        SMD_0805             31310mil      24964mil      31310mil      24964mil      31310mil      25009mil  T        270.00 Res 0805       
R4B        SMD_0805             29910mil      24964mil      29910mil      24964mil      29910mil      25009mil  T        270.00 Res 0805       
R4A        SMD_0805             28510mil      24964mil      28510mil      24964mil      28510mil      25009mil  T        270.00 Res 0805       
R3         SMD_0805             28908mil  26772.079mil      28908mil  26772.079mil      28863mil  26772.079mil  B        360.00 Res 0805       
R2         SMD_0805             28977mil  26038.079mil      28977mil  26038.079mil      28977mil  25993.079mil  B         90.00 Res 0805       
R1         SMD_0805          36062.48mil  26146.079mil   36062.48mil  26146.079mil   36017.48mil  26146.079mil  B        360.00 Res 0805       
Q2L        SOT-23B          35514.988mil  20552.819mil  35514.988mil  20552.819mil   35552.39mil  20602.032mil  T        180.00 ZXMN3B14FTA    
Q2K        SOT-23B          34114.988mil  20552.819mil  34114.988mil  20552.819mil   34152.39mil  20602.032mil  T        180.00 ZXMN3B14FTA    
Q2J        SOT-23B            32945.5mil  20590.142mil    32945.5mil  20590.142mil  32982.902mil  20639.354mil  T        180.00 ZXMN3B14FTA    
Q2I        SOT-23B          31314.988mil  20552.819mil  31314.988mil  20552.819mil   31352.39mil  20602.032mil  T        180.00 ZXMN3B14FTA    
Q2H        SOT-23B          29914.988mil  20552.819mil  29914.988mil  20552.819mil   29952.39mil  20602.032mil  T        180.00 ZXMN3B14FTA    
Q2G        SOT-23B          28514.988mil  20552.819mil  28514.988mil  20552.819mil   28552.39mil  20602.032mil  T        180.00 ZXMN3B14FTA    
Q2F        SOT-23B              35515mil      25804mil      35515mil      25804mil  35552.402mil  25853.213mil  T        180.00 ZXMN3B14FTA    
Q2E        SOT-23B              34115mil      25804mil      34115mil      25804mil  34152.402mil  25853.213mil  T        180.00 ZXMN3B14FTA    
Q2D        SOT-23B              32715mil      25804mil      32715mil      25804mil  32752.402mil  25853.213mil  T        180.00 ZXMN3B14FTA    
Q2C        SOT-23B              31315mil      25804mil      31315mil      25804mil  31352.402mil  25853.213mil  T        180.00 ZXMN3B14FTA    
Q2B        SOT-23B              29915mil      25804mil      29915mil      25804mil  29952.402mil  25853.213mil  T        180.00 ZXMN3B14FTA    
Q2A        SOT-23B              28515mil      25804mil      28515mil      25804mil  28552.402mil  25853.213mil  T        180.00 ZXMN3B14FTA    
Q1L        SOT-23B          35809.988mil  20352.819mil  35809.988mil  20352.819mil   35847.39mil  20402.032mil  T        180.00 ZXMN3B14FTA    
Q1K        SOT-23B          34409.988mil  20352.819mil  34409.988mil  20352.819mil   34447.39mil  20402.032mil  T        180.00 ZXMN3B14FTA    
Q1J        SOT-23B          33009.988mil  20352.819mil  33009.988mil  20352.819mil   33047.39mil  20402.032mil  T        180.00 ZXMN3B14FTA    
Q1I        SOT-23B          31609.988mil  20352.819mil  31609.988mil  20352.819mil   31647.39mil  20402.032mil  T        180.00 ZXMN3B14FTA    
Q1H        SOT-23B          30209.988mil  20352.819mil  30209.988mil  20352.819mil   30247.39mil  20402.032mil  T        180.00 ZXMN3B14FTA    
Q1G        SOT-23B          28809.988mil  20352.819mil  28809.988mil  20352.819mil   28847.39mil  20402.032mil  T        180.00 ZXMN3B14FTA    
Q1F        SOT-23B              35810mil      25604mil      35810mil      25604mil  35847.402mil  25653.213mil  T        180.00 ZXMN3B14FTA    
Q1E        SOT-23B              34410mil      25604mil      34410mil      25604mil  34447.402mil  25653.213mil  T        180.00 ZXMN3B14FTA    
Q1D        SOT-23B              33010mil      25604mil      33010mil      25604mil  33047.402mil  25653.213mil  T        180.00 ZXMN3B14FTA    
Q1C        SOT-23B              31610mil      25604mil      31610mil      25604mil  31647.402mil  25653.213mil  T        180.00 ZXMN3B14FTA    
Q1B        SOT-23B              30210mil      25604mil      30210mil      25604mil  30247.402mil  25653.213mil  T        180.00 ZXMN3B14FTA    
Q1A        SOT-23B              28810mil      25604mil      28810mil      25604mil  28847.402mil  25653.213mil  T        180.00 ZXMN3B14FTA    
P2         HDR-4_pin_w/screw      36023mil  26555.079mil      36023mil  26555.079mil      36323mil  26555.079mil  B        180.00 Header PWR 4 Pin
L1         10/100BT_Magetics_module    34219.5mil  26389.079mil      34397mil  26564.079mil      34397mil  26564.079mil  B        270.00 S558-5999-J1-F 
K1L        RELAY,_TYCO_RT1   35662.35mil  19575.693mil  35809.988mil  20067.819mil  35809.988mil  20067.819mil  B        270.00 Dual-Latching, 24V
K1J        RELAY,_TYCO_RT1   32862.35mil  19575.693mil  33009.988mil  20067.819mil  33009.988mil  20067.819mil  B        270.00 Dual-Latching, 24V
K1I        RELAY,_TYCO_RT1   31462.35mil  19575.693mil  31609.988mil  20067.819mil  31609.988mil  20067.819mil  B        270.00 Dual-Latching, 24V
K1H        RELAY,_TYCO_RT1   30062.35mil  19575.693mil  30209.988mil  20067.819mil  30209.988mil  20067.819mil  B        270.00 Dual-Latching, 24V
K1G        RELAY,_TYCO_RT1   28662.35mil  19575.693mil  28809.988mil  20067.819mil  28809.988mil  20067.819mil  B        270.00 Dual-Latching, 24V
K1F        RELAY,_TYCO_RT1  35662.362mil  24826.874mil      35810mil      25319mil      35810mil      25319mil  B        270.00 Dual-Latching, 24V
K1E        RELAY,_TYCO_RT1  34262.362mil  24826.874mil      34410mil      25319mil      34410mil      25319mil  B        270.00 Dual-Latching, 24V
K1D        RELAY,_TYCO_RT1  32862.362mil  24826.874mil      33010mil      25319mil      33010mil      25319mil  B        270.00 Dual-Latching, 24V
K1C        RELAY,_TYCO_RT1  31462.362mil  24826.874mil      31610mil      25319mil      31610mil      25319mil  B        270.00 Dual-Latching, 24V
K1B        RELAY,_TYCO_RT1  30062.362mil  24826.874mil      30210mil      25319mil      30210mil      25319mil  B        270.00 Dual-Latching, 24V
K1A        RELAY,_TYCO_RT1  28662.362mil  24826.874mil      28810mil      25319mil      28810mil      25319mil  B        270.00 Dual-Latching, 24V
J4         USB_Vertical_PCB  31581.992mil  26443.378mil      31819mil  26487.079mil  31631.205mil  26380.386mil  B          0.00 61729-0010BLF  
J3         RJ45,_VERT_MOUNT,_NO_MAGNETICS      34743mil  26397.079mil      34763mil  26537.079mil      34763mil  26537.079mil  B         90.00 RJHSE-3381     
