Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5     -29340mil     -17929mil       8605mil      10571mil     -29340mil     -17929mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5     -29340mil     -17929mil       -675mil      10551mil     -29340mil     -17929mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5     -29340mil     -17929mil       -395mil      -1359mil     -29340mil     -17929mil  T        180.00 Comment        
TP11G      PAD_80D_052H       284.988mil   3487.819mil    284.988mil   3487.819mil    284.988mil   3487.819mil  B        360.00 Test point     
TP11H      PAD_80D_052H      1684.988mil   3487.819mil   1684.988mil   3487.819mil   1684.988mil   3487.819mil  B        360.00 Test point     
TP11I      PAD_80D_052H        2695.5mil   2941.142mil     2695.5mil   2941.142mil     2695.5mil   2941.142mil  B        360.00 Test point     
TP11J      PAD_80D_052H        4085.5mil   2921.142mil     4085.5mil   2921.142mil     4085.5mil   2921.142mil  B        360.00 Test point     
TP11K      PAD_80D_052H      5884.988mil   3487.819mil   5884.988mil   3487.819mil   5884.988mil   3487.819mil  B        360.00 Test point     
TP11L      PAD_80D_052H      7284.988mil   3487.819mil   7284.988mil   3487.819mil   7284.988mil   3487.819mil  B        360.00 Test point     
U5         SuperFin_Footprint   3431.957mil   5076.024mil     2585.5mil   3431.142mil   3059.122mil   4850.433mil  B         90.00 SuperFin Module
C10        2012[0805]            1410mil        982mil       1410mil        982mil   1447.401mil        982mil  B        180.00 1u             
TP17       SMD_TEST_POINT        3163mil   9870.079mil       3163mil   9870.079mil       3163mil   9870.079mil  B         90.00 Test Point SMD 
C11        SMD_0805          4538.801mil    794.344mil   4538.801mil    794.344mil   4493.801mil    794.344mil  B        360.00 Cap SMD        
C13        SMD_0805          4113.801mil   1139.344mil   4113.801mil   1139.344mil   4158.801mil   1139.344mil  B        180.00 16V            
C14        SMD_0805          4801.801mil    744.344mil   4801.801mil    744.344mil   4801.801mil    789.344mil  T        270.00 Cap SMD        
D1         DO-214AB          4474.803mil   1037.323mil   4474.803mil   1037.323mil   4474.803mil    915.512mil  B         90.00 SL43-E3/57T    
L2         Inductor_TDC_SLF   4183.801mil    944.344mil   4183.801mil    944.344mil   4309.785mil    944.344mil  B         90.00 445-3869-1-ND  
R29        SMD_0805          4643.801mil   1039.344mil   4643.801mil   1039.344mil   4598.801mil   1039.344mil  T        360.00 Res 0805       
R30        SMD_0805          4708.801mil   1144.344mil   4708.801mil   1144.344mil   4708.801mil   1189.344mil  B        270.00 Res 0805       
R31        SMD_0805          4788.801mil   1144.344mil   4788.801mil   1144.344mil   4788.801mil   1189.344mil  B        270.00 Res 0805       
R32        SMD_0805          4713.801mil    734.344mil   4713.801mil    734.344mil   4713.801mil    779.344mil  B        270.00 Res 0805       
R33        SMD_0805          4803.801mil    739.344mil   4803.801mil    739.344mil   4803.801mil    694.344mil  B         90.00 Res 0805       
R34        SMD_0805          4713.801mil    739.344mil   4713.801mil    739.344mil   4713.801mil    694.344mil  T         90.00 Res 0805       
U21        DD12/DFN12        4694.509mil     891.43mil   4738.801mil    834.344mil   4738.801mil    834.344mil  B         90.00 LT3682         
C15        SMD_0805          4793.801mil    944.344mil   4793.801mil    944.344mil   4793.801mil    899.344mil  B         90.00 25V            
C16        SMD_CAP_3216          2520mil   1029.598mil       2520mil   1029.598mil       2575mil   1029.598mil  B        360.00 16V            
C17        SMD_CAP_3216          2515mil    614.598mil       2515mil    614.598mil       2570mil    614.598mil  B        360.00 16V            
C18        SMD_1206          3343.979mil    804.997mil   3343.979mil    804.997mil   3288.979mil    804.997mil  B        360.00 Low ESR        
C19        SMD_1206              3099mil    807.079mil       3099mil    807.079mil       3154mil    807.079mil  B        180.00 Low ESR        
C20        SMD_0805          3048.979mil    599.997mil   3048.979mil    599.997mil   3093.979mil    599.997mil  B        180.00 Cap SMD        
L3         Inductor_TDC_SLF   3288.979mil   1034.997mil   3288.979mil   1034.997mil   3288.979mil    909.013mil  B        360.00 445-3872-2-ND  
R35        SMD_0805          3183.979mil    594.997mil   3183.979mil    594.997mil   3138.979mil    594.997mil  T          0.00 Res 0805       
R36        SMD_0805          3048.979mil    729.997mil   3048.979mil    729.997mil   3093.979mil    729.997mil  B        180.00 Res 0805       
R37        SMD_0805          3113.979mil    704.997mil   3113.979mil    704.997mil   3113.979mil    749.997mil  T        270.00 Res 0805       
R38        SMD_0805          3003.979mil    889.997mil   3003.979mil    889.997mil   2958.979mil    889.997mil  B        360.00 Res 0805       
R39        SMD_0805          3048.979mil    664.997mil   3048.979mil    664.997mil   3003.979mil    664.997mil  B        360.00 Res 0805       
R40        SMD_0805          3367.979mil    616.997mil   3367.979mil    616.997mil   3367.979mil    571.997mil  B         90.00 Res 0805       
U22        S8_M                  2525mil    814.598mil       2525mil    814.598mil       2600mil    718.142mil  B         90.00 LTC1144        
TP27       SMD_TEST_POINT        2656mil   9877.079mil       2656mil   9877.079mil       2656mil   9877.079mil  B         90.00 Test Point SMD 
TP28       SMD_TEST_POINT        3794mil   9859.079mil       3794mil   9859.079mil       3794mil   9859.079mil  B        270.00 Test Point SMD 
TP29       SMD_TEST_POINT        4175mil   9855.079mil       4175mil   9855.079mil       4175mil   9855.079mil  B         90.00 Test Point SMD 
U23        DD8/DFN8          3228.979mil    689.997mil   3228.979mil    689.997mil   3284.589mil    719.525mil  B        180.00 LTC3631        
C2A        SMD_0805               250mil       7740mil        250mil       7740mil        295mil       7740mil  T        180.00 Cap SMD        
C2B        SMD_0805              1650mil       7740mil       1650mil       7740mil       1695mil       7740mil  T        180.00 Cap SMD        
C2C        SMD_0805              3050mil       7740mil       3050mil       7740mil       3095mil       7740mil  T        180.00 Cap SMD        
C2D        SMD_0805              4450mil       7740mil       4450mil       7740mil       4495mil       7740mil  T        180.00 Cap SMD        
C2E        SMD_0805              5850mil       7740mil       5850mil       7740mil       5895mil       7740mil  T        180.00 Cap SMD        
C2F        SMD_0805              7250mil       7740mil       7250mil       7740mil       7295mil       7740mil  T        180.00 Cap SMD        
C2G        SMD_0805           249.988mil   2488.819mil    249.988mil   2488.819mil    294.988mil   2488.819mil  T        180.00 Cap SMD        
