Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5     -52668mil -33611.508mil       6246mil       4578mil     -52668mil -33611.508mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5     -52668mil -33611.508mil       -780mil       4578mil     -52668mil -33611.508mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5     -52668mil -33611.508mil       -599mil      -1723mil     -52668mil -33611.508mil  T        180.00 Comment        
Designator HEATSINK_TO-220_SINGLE       5137mil   1183.775mil       5137mil   1183.775mil       5137mil   1183.775mil  T        180.00 Comment        
Designator HEATSINK_TO-220_SINGLE       5137mil       3021mil       5137mil       3021mil       5137mil       3021mil  T        180.00 Comment        
Designator HEATSINK_TO-220_SINGLE       4737mil       3021mil       4737mil       3021mil       4737mil       3021mil  T        360.00 Comment        
R20        SMD_0805           369.094mil   3426.181mil    369.094mil   3426.181mil    414.094mil   3426.181mil  B        180.00 Res 0805       
C20        SMD_CAP_6032          1495mil        580mil       1495mil        580mil       1610mil        580mil  T        360.00 35V            
C21        SMD_CAP_3216          4545mil    615.394mil       4545mil    615.394mil       4545mil    560.394mil  T        270.00 15V            
C22        SMD_CAP_3216          4400mil        615mil       4400mil        615mil       4400mil        670mil  T         90.00 15V            
C23        SMD_CAP_3216          1540mil        740mil       1540mil        740mil       1595mil        740mil  T          0.00 15V            
C24        SMD_CAP_3216          4240mil        620mil       4240mil        620mil       4240mil        565mil  T        270.00 15V            
C4         SMD_0805          2562.206mil       3604mil   2562.206mil       3604mil   2562.206mil       3559mil  T         90.00 Cap SMD        
C5         SMD_0805              2425mil       3605mil       2425mil       3605mil       2425mil       3560mil  T         90.00 Cap SMD        
C19        SMD_0805              2490mil       3603mil       2490mil       3603mil       2490mil       3558mil  T         90.00 Cap SMD        
C25        SMD_0805              2359mil       3604mil       2359mil       3604mil       2359mil       3559mil  T         90.00 Cap SMD        
RN1        RES_ARRAY_0603_x_4   2718.614mil   3459.748mil   2760.937mil   3412.504mil       2757mil   3412.504mil  T         90.00 RES ARRAY  x4 10K

