Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5 -11141.732mil  -10236.22mil       7470mil       3702mil -11141.732mil  -10236.22mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5 -11141.732mil  -10236.22mil       -760mil       3730mil -11141.732mil  -10236.22mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5 -11141.732mil  -10236.22mil       -739mil      -1854mil -11141.732mil  -10236.22mil  T        180.00 Comment        
TP12       PAD_80D_052H          1714mil       2025mil       1714mil       2025mil       1714mil       2025mil  T         90.00 Test point     
J3B        LEMO_SIZE_0,_2-PIN_PCB    5669.29mil    475.197mil    5669.29mil    425.197mil    5669.29mil    525.197mil  T        180.00 LEMO 2-pin size 0
J3A        LEMO_SIZE_0,_2-PIN_PCB    5118.11mil    475.197mil    5118.11mil    425.197mil    5118.11mil    525.197mil  T        180.00 LEMO 2-pin size 0
J2H        LEMO_SIZE_0,_4-PIN_PCB   4133.858mil    475.197mil   4133.858mil    425.197mil   4083.858mil    525.197mil  T        180.00 LEMO 4-pin size 0
J2G        LEMO_SIZE_0,_4-PIN_PCB   3582.676mil    475.197mil   3582.676mil    425.197mil   3532.676mil    525.197mil  T        180.00 LEMO 4-pin size 0
J2F        LEMO_SIZE_0,_4-PIN_PCB   3031.496mil    475.197mil   3031.496mil    425.197mil   2981.496mil    525.197mil  T        180.00 LEMO 4-pin size 0
J2E        LEMO_SIZE_0,_4-PIN_PCB   2480.313mil    475.197mil   2480.313mil    425.197mil   2430.313mil    525.197mil  T        180.00 LEMO 4-pin size 0
J2D        LEMO_SIZE_0,_4-PIN_PCB   1929.133mil    475.197mil   1929.133mil    425.197mil   1879.133mil    525.197mil  T        180.00 LEMO 4-pin size 0
J2C        LEMO_SIZE_0,_4-PIN_PCB   1377.951mil    475.197mil   1377.951mil    425.197mil   1327.951mil    525.197mil  T        180.00 LEMO 4-pin size 0
J2B        LEMO_SIZE_0,_4-PIN_PCB    826.771mil    475.197mil    826.771mil    425.197mil    776.771mil    525.197mil  T        180.00 LEMO 4-pin size 0
J2A        LEMO_SIZE_0,_4-PIN_PCB    275.591mil    475.197mil    275.591mil    425.197mil    225.591mil    525.197mil  T        180.00 LEMO 4-pin size 0
J1         PCB_EDGE,_MOLEX_46114    -234.26mil   1887.601mil     -21.26mil   1181.102mil    -234.26mil   1213.601mil  T          0.00 PCB Edge Fingers
C34        SMD_CAP_6032           200mil   2211.001mil        200mil       2211mil     84.999mil   2211.001mil  B        360.00 50V            
C33        SMD_CAP_6032           629mil   2216.001mil        629mil       2216mil        744mil   2216.001mil  B        180.00 50V            
C32        SMD_0805           596.001mil       3158mil        596mil       3158mil    551.001mil       3158mil  B        360.00 Cap SMD        
C31        SMD_0805          4122.001mil       1996mil       4122mil       1996mil   4122.001mil       2041mil  B        270.00 1u             
C30        SMD_0805          3685.001mil       2008mil       3685mil       2008mil   3685.001mil       2053mil  B        270.00 1u             
C29        SMD_0805          3684.999mil   2224.999mil       3685mil       2225mil   3684.999mil   2179.999mil  B         90.00 1u             
C28D       SMD_0805          6667.651mil   1526.198mil    6667.65mil   1526.199mil   6667.651mil   1571.198mil  B        270.00 100V           
C28C       SMD_0805          6116.472mil   1526.198mil   6116.472mil   1526.197mil   6116.472mil   1571.198mil  B        270.00 100V           
C28B       SMD_0805          5565.288mil   1526.198mil   5565.289mil   1526.197mil   5565.288mil   1571.198mil  B        270.00 100V           
C28A       SMD_0805          5014.109mil   1526.198mil    5014.11mil   1526.197mil   5014.109mil   1571.198mil  B        270.00 100V           
C27D       SMD_0805          6568.651mil    482.198mil   6568.652mil    482.199mil   6568.651mil    527.198mil  B        270.00 Cap SMD        
C27C       SMD_0805          6017.472mil    482.198mil   6017.472mil    482.197mil   6017.472mil    527.198mil  B        270.00 Cap SMD        
C27B       SMD_0805          5466.289mil    482.198mil   5466.289mil    482.197mil   5466.289mil    527.198mil  B        270.00 Cap SMD        
C27A       SMD_0805           4915.11mil    482.198mil    4915.11mil    482.197mil    4915.11mil    527.198mil  B        270.00 Cap SMD        
C26D       SMD_0805           6540.65mil   1522.198mil    6540.65mil   1522.199mil    6540.65mil   1567.198mil  B        270.00 Cap SMD        
C26C       SMD_0805          5989.471mil   1522.198mil    5989.47mil   1522.197mil   5989.471mil   1567.198mil  B        270.00 Cap SMD        
C26B       SMD_0805          5438.288mil   1522.198mil   5438.287mil   1522.197mil   5438.288mil   1567.198mil  B        270.00 Cap SMD        
C26A       SMD_0805          4887.109mil   1522.198mil    4887.11mil   1522.197mil   4887.109mil   1567.198mil  B        270.00 Cap SMD        
C25D       SMD_0805          6990.651mil   1083.197mil   6990.651mil   1083.198mil   6990.651mil   1128.197mil  B        270.00 16V            
C25C       SMD_0805          6439.472mil   1083.197mil   6439.471mil   1083.197mil   6439.472mil   1128.197mil  B        270.00 16V            
C25B       SMD_0805          5888.289mil   1083.197mil   5888.288mil   1083.197mil   5888.289mil   1128.197mil  B        270.00 16V            
C25A       SMD_0805           5337.11mil   1083.197mil   5337.109mil   1083.197mil    5337.11mil   1128.197mil  B        270.00 16V            
C24D       SMD_0805          6817.651mil    956.197mil    6817.65mil    956.196mil   6817.651mil    911.197mil  B         90.00 Cap SMD        
C24C       SMD_0805          6266.472mil    956.197mil   6266.471mil    956.198mil   6266.472mil    911.197mil  B         90.00 Cap SMD        
C24B       SMD_0805          5715.289mil    956.197mil   5715.288mil    956.198mil   5715.289mil    911.197mil  B         90.00 Cap SMD        
C24A       SMD_0805           5164.11mil    956.197mil    5164.11mil    956.197mil    5164.11mil    911.197mil  B         90.00 Cap SMD        
C23D       SMD_0805           6654.65mil    973.197mil    6654.65mil    973.196mil    6654.65mil    928.197mil  B         90.00 Cap SMD        
C23C       SMD_0805          6103.471mil    973.197mil   6103.471mil    973.198mil   6103.471mil    928.197mil  B         90.00 Cap SMD        
C23B       SMD_0805          5552.288mil    973.197mil   5552.288mil    973.198mil   5552.288mil    928.197mil  B         90.00 Cap SMD        
